reqid,fret,serialisation
R.018,(LAST V (((unexpectedBehaviour & detailRequested) -> detailedExplain) | ((! unexpectedBehaviour) -> explain))),"['V', 'LAST', ['|', ['->', ['&', 'unexpectedBehaviour', 'detailRequested'], 'detailedExplain'], ['->', ['!', 'unexpectedBehaviour'], 'explain']]]"
R.046,((LAST V (((! notOptimal) & ((! LAST) & (X notOptimal))) -> (X explain))) & (notOptimal -> explain)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'notOptimal'], ['&', ['!', 'LAST'], ['X', 'notOptimal']]], ['X', 'explain']]], ['->', 'notOptimal', 'explain']]"
R.004,((LAST V ((! ((((! manipulationMode) & (! LAST)) & (X manipulationMode)) & (! LAST))) | (X ((explainObject & Future(explainMaterial)) & Future(explainCut))))) & (manipulationMode -> ((explainObject & Future(explainMaterial)) & Future(explainCut)))),"['&', ['V', 'LAST', ['|', ['!', ['&', ['&', ['&', ['!', 'manipulationMode'], ['!', 'LAST']], ['X', 'manipulationMode']], ['!', 'LAST']]], ['X', ['&', ['&', 'explainObject', 'Future(explainMaterial)'], 'Future(explainCut)']]]], ['->', 'manipulationMode', ['&', ['&', 'explainObject', 'Future(explainMaterial)'], 'Future(explainCut)']]]"
R.019,((LAST V (((! (situationAssessment -> lowRisk)) & ((! LAST) & (X (situationAssessment -> lowRisk)))) -> (X ((! LAST) U detailed)))) & ((situationAssessment -> lowRisk) -> ((! LAST) U detailed))),"['&', ['V', 'LAST', ['->', ['&', ['!', ['->', 'situationAssessment', 'lowRisk']], ['&', ['!', 'LAST'], ['X', ['->', 'situationAssessment', 'lowRisk']]]], ['X', ['U', ['!', 'LAST'], 'detailed']]]], ['->', ['->', 'situationAssessment', 'lowRisk'], ['U', ['!', 'LAST'], 'detailed']]]"
R.047,((LAST V (((! pathImpossible) & ((! LAST) & (X pathImpossible))) -> (X returnAllOption))) & (pathImpossible -> returnAllOption)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'pathImpossible'], ['&', ['!', 'LAST'], ['X', 'pathImpossible']]], ['X', 'returnAllOption']]], ['->', 'pathImpossible', 'returnAllOption']]"
R.020,((LAST V (((! decisionMaking) & ((! LAST) & (X decisionMaking))) -> (X ((! LAST) U explain)))) & (decisionMaking -> ((! LAST) U explain))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'decisionMaking'], ['&', ['!', 'LAST'], ['X', 'decisionMaking']]], ['X', ['U', ['!', 'LAST'], 'explain']]]], ['->', 'decisionMaking', ['U', ['!', 'LAST'], 'explain']]]"
R.021,((LAST V ((! ((((! systemDiagnosis) & (! LAST)) & (X systemDiagnosis)) & (! LAST))) | (X ((! (((systemDiagnosis & (! LAST)) & (X (! systemDiagnosis))) | LAST)) U detailed)))) & (systemDiagnosis -> ((! (((systemDiagnosis & (! LAST)) & (X (! systemDiagnosis))) | LAST)) U detailed))),"['&', ['V', 'LAST', ['|', ['!', ['&', ['&', ['&', ['!', 'systemDiagnosis'], ['!', 'LAST']], ['X', 'systemDiagnosis']], ['!', 'LAST']]], ['X', ['U', ['!', ['|', ['&', ['&', 'systemDiagnosis', ['!', 'LAST']], ['X', ['!', 'systemDiagnosis']]], 'LAST']], 'detailed']]]], ['->', 'systemDiagnosis', ['U', ['!', ['|', ['&', ['&', 'systemDiagnosis', ['!', 'LAST']], ['X', ['!', 'systemDiagnosis']]], 'LAST']], 'detailed']]]"
R.048,(LAST V (provideHealthUpdate & (selfRecoveryStrategyConfidence > acceptableThreshold))),"['V', 'LAST', ['&', 'provideHealthUpdate', ['>', 'selfRecoveryStrategyConfidence', 'acceptableThreshold']]]"
R.038,((LAST V (((! unexpectedCondition) & ((! LAST) & (X unexpectedCondition))) -> (X notifyUsers))) & (unexpectedCondition -> notifyUsers)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'unexpectedCondition'], ['&', ['!', 'LAST'], ['X', 'unexpectedCondition']]], ['X', 'notifyUsers']]], ['->', 'unexpectedCondition', 'notifyUsers']]"
R.014,((LAST V (((! (! clearance)) & ((! LAST) & (X (! clearance)))) -> (X (LAST V (! shareSensitiveInformation))))) & ((! clearance) -> (LAST V (! shareSensitiveInformation)))),"['&', ['V', 'LAST', ['->', ['&', ['!', ['!', 'clearance']], ['&', ['!', 'LAST'], ['X', ['!', 'clearance']]]], ['X', ['V', 'LAST', ['!', 'shareSensitiveInformation']]]]], ['->', ['!', 'clearance'], ['V', 'LAST', ['!', 'shareSensitiveInformation']]]]"
R.006,((LAST V (((! assessment) & ((! LAST) & (X assessment))) -> (X (LAST | (X provideReason))))) & (assessment -> (LAST | (X provideReason)))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'assessment'], ['&', ['!', 'LAST'], ['X', 'assessment']]], ['X', ['|', 'LAST', ['X', 'provideReason']]]]], ['->', 'assessment', ['|', 'LAST', ['X', 'provideReason']]]]"
R.049,(LAST V ((sampleDoseRate & avoidObstacles) & minimiseRadRisk)),"['V', 'LAST', ['&', ['&', 'sampleDoseRate', 'avoidObstacles'], 'minimiseRadRisk']]"
R.023,((LAST V (((! problemDetected) & ((! LAST) & (X problemDetected))) -> (X ((! LAST) U explain)))) & (problemDetected -> ((! LAST) U explain))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'problemDetected'], ['&', ['!', 'LAST'], ['X', 'problemDetected']]], ['X', ['U', ['!', 'LAST'], 'explain']]]], ['->', 'problemDetected', ['U', ['!', 'LAST'], 'explain']]]"
R.026,((LAST V (((! unexpectedObstacle) & ((! LAST) & (X unexpectedObstacle))) -> (X ((! LAST) U Explain)))) & (unexpectedObstacle -> ((! LAST) U Explain))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'unexpectedObstacle'], ['&', ['!', 'LAST'], ['X', 'unexpectedObstacle']]], ['X', ['U', ['!', 'LAST'], 'Explain']]]], ['->', 'unexpectedObstacle', ['U', ['!', 'LAST'], 'Explain']]]"
R.050,((LAST V (((! abort) & ((! LAST) & (X abort))) -> (X explain))) & (abort -> explain)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'abort'], ['&', ['!', 'LAST'], ['X', 'abort']]], ['X', 'explain']]], ['->', 'abort', 'explain']]"
R.051,((LAST V (((! (probComplete >= p)) & ((! LAST) & (X (probComplete >= p)))) -> (X (returnUncertaintyVariables & explain)))) & ((probComplete >= p) -> (returnUncertaintyVariables & explain))),"['&', ['V', 'LAST', ['->', ['&', ['!', ['>=', 'probComplete', 'p']], ['&', ['!', 'LAST'], ['X', ['>=', 'probComplete', 'p']]]], ['X', ['&', 'returnUncertaintyVariables', 'explain']]]], ['->', ['>=', 'probComplete', 'p'], ['&', 'returnUncertaintyVariables', 'explain']]]"
R.039,(LAST V (failureDetected -> (explainOffNormal & failSafe))),"['V', 'LAST', ['->', 'failureDetected', ['&', 'explainOffNormal', 'failSafe']]]"
R.007,((LAST V (((! areaAvoided) & ((! LAST) & (X areaAvoided))) -> (X explain))) & (areaAvoided -> explain)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'areaAvoided'], ['&', ['!', 'LAST'], ['X', 'areaAvoided']]], ['X', 'explain']]], ['->', 'areaAvoided', 'explain']]"
R.024,((LAST V (((! (priorities -> changePlan)) & ((! LAST) & (X (priorities -> changePlan)))) -> (X (LAST | (X explain))))) & ((priorities -> changePlan) -> (LAST | (X explain)))),"['&', ['V', 'LAST', ['->', ['&', ['!', ['->', 'priorities', 'changePlan']], ['&', ['!', 'LAST'], ['X', ['->', 'priorities', 'changePlan']]]], ['X', ['|', 'LAST', ['X', 'explain']]]]], ['->', ['->', 'priorities', 'changePlan'], ['|', 'LAST', ['X', 'explain']]]]"
R.025,(LAST V explainTaskProbability),"['V', 'LAST', 'explainTaskProbability']"
R.001,((explainHealth | LAST) V (! mission)),"['V', ['|', 'explainHealth', 'LAST'], ['!', 'mission']]"
R.040,(LAST V (developer -> produceDetailedExplanation)),"['V', 'LAST', ['->', 'developer', 'produceDetailedExplanation']]"
R.027,((LAST V (((! (timeConstraints -> changePlan)) & ((! LAST) & (X (timeConstraints -> changePlan)))) -> (X (LAST | (X explain))))) & ((timeConstraints -> changePlan) -> (LAST | (X explain)))),"['&', ['V', 'LAST', ['->', ['&', ['!', ['->', 'timeConstraints', 'changePlan']], ['&', ['!', 'LAST'], ['X', ['->', 'timeConstraints', 'changePlan']]]], ['X', ['|', 'LAST', ['X', 'explain']]]]], ['->', ['->', 'timeConstraints', 'changePlan'], ['|', 'LAST', ['X', 'explain']]]]"
R.003,(LAST V (monitorHealth & ((health < threshold) -> explain))),"['V', 'LAST', ['&', 'monitorHealth', ['->', ['<', 'health', 'threshold'], 'explain']]]"
R.005,(LAST V (explainLocation & provideReason)),"['V', 'LAST', ['&', 'explainLocation', 'provideReason']]"
R.010,((LAST V (((! failureDetected) & ((! LAST) & (X failureDetected))) -> (X (diagnose & explain)))) & (failureDetected -> (diagnose & explain))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'failureDetected'], ['&', ['!', 'LAST'], ['X', 'failureDetected']]], ['X', ['&', 'diagnose', 'explain']]]], ['->', 'failureDetected', ['&', 'diagnose', 'explain']]]"
R.002,((explainSuitable | LAST) V (! mission)),"['V', ['|', 'explainSuitable', 'LAST'], ['!', 'mission']]"
R.028,((! LAST) U (robotLocation & taskCompletionStatus)),"['U', ['!', 'LAST'], ['&', 'robotLocation', 'taskCompletionStatus']]"
R.022,((LAST V (((! safetyConcernDetected) & ((! LAST) & (X safetyConcernDetected))) -> (X (LAST | (X justifyDecision))))) & (safetyConcernDetected -> (LAST | (X justifyDecision)))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'safetyConcernDetected'], ['&', ['!', 'LAST'], ['X', 'safetyConcernDetected']]], ['X', ['|', 'LAST', ['X', 'justifyDecision']]]]], ['->', 'safetyConcernDetected', ['|', 'LAST', ['X', 'justifyDecision']]]]"
R.029,(LAST V (pathPlanning -> (explainPath & justifyDecision))),"['V', 'LAST', ['->', 'pathPlanning', ['&', 'explainPath', 'justifyDecision']]]"
R.041,((LAST V (((! safetyConcernDetected) & ((! LAST) & (X safetyConcernDetected))) -> (X (LAST | (X verifyAction))))) & (safetyConcernDetected -> (LAST | (X verifyAction)))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'safetyConcernDetected'], ['&', ['!', 'LAST'], ['X', 'safetyConcernDetected']]], ['X', ['|', 'LAST', ['X', 'verifyAction']]]]], ['->', 'safetyConcernDetected', ['|', 'LAST', ['X', 'verifyAction']]]]"
R.008,(LAST V (pathPlanningMode -> justifyDecision)),"['V', 'LAST', ['->', 'pathPlanningMode', 'justifyDecision']]"
R.042,((LAST V (((! (routeChange & infoRequest)) & ((! LAST) & (X (routeChange & infoRequest)))) -> (X (LAST | (X provideReason))))) & ((routeChange & infoRequest) -> (LAST | (X provideReason)))),"['&', ['V', 'LAST', ['->', ['&', ['!', ['&', 'routeChange', 'infoRequest']], ['&', ['!', 'LAST'], ['X', ['&', 'routeChange', 'infoRequest']]]], ['X', ['|', 'LAST', ['X', 'provideReason']]]]], ['->', ['&', 'routeChange', 'infoRequest'], ['|', 'LAST', ['X', 'provideReason']]]]"
R.030,((LAST V (((! taskCannotComplete) & ((! LAST) & (X taskCannotComplete))) -> (X explain))) & (taskCannotComplete -> explain)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'taskCannotComplete'], ['&', ['!', 'LAST'], ['X', 'taskCannotComplete']]], ['X', 'explain']]], ['->', 'taskCannotComplete', 'explain']]"
