reqid,fret,serialisation
FUN41,((G (((! (GUIFailue | (! GUIConnected))) & (X (GUIFailue | (! GUIConnected)))) -> (X (F (ventilating & highPriorityAlarm))))) & ((GUIFailue | (! GUIConnected)) -> (F (ventilating & highPriorityAlarm)))),"['&', ['G', ['->', ['&', ['!', ['|', 'GUIFailue', ['!', 'GUIConnected']]], ['X', ['|', 'GUIFailue', ['!', 'GUIConnected']]]], ['X', ['F', ['&', 'ventilating', 'highPriorityAlarm']]]]], ['->', ['|', 'GUIFailue', ['!', 'GUIConnected']], ['F', ['&', 'ventilating', 'highPriorityAlarm']]]]"
FUN9,((G (((! selfTestPassed) & (X selfTestPassed)) -> (X (F ((startMonitoring & startReportingHealthParams) & StandbyMode))))) & (selfTestPassed -> (F ((startMonitoring & startReportingHealthParams) & StandbyMode)))),"['&', ['G', ['->', ['&', ['!', 'selfTestPassed'], ['X', 'selfTestPassed']], ['X', ['F', ['&', ['&', 'startMonitoring', 'startReportingHealthParams'], 'StandbyMode']]]]], ['->', 'selfTestPassed', ['F', ['&', ['&', 'startMonitoring', 'startReportingHealthParams'], 'StandbyMode']]]]"
FUN31,(F patientSafe),"['F', 'patientSafe']"
FUN19,,
FUN10_3,((G (((! resumeVentilation) & (X resumeVentilation)) -> (X (F (SelfTestMode & (((((((testPowerSwitchPass | testPowerSwitchSkip) & (testLeaksPass | testLeaksSkip)) & (testFl2Pass | testFl2Skip)) & (testPSExpPass | testPSExpSkip)) & (testOxygenSensorPass | testOxygenSensorSkip)) & (testAlarmsPass | testAlarmsSkip)) -> selfTestPassed)))))) & (resumeVentilation -> (F (SelfTestMode & (((((((testPowerSwitchPass | testPowerSwitchSkip) & (testLeaksPass | testLeaksSkip)) & (testFl2Pass | testFl2Skip)) & (testPSExpPass | testPSExpSkip)) & (testOxygenSensorPass | testOxygenSensorSkip)) & (testAlarmsPass | testAlarmsSkip)) -> selfTestPassed))))),"['&', ['G', ['->', ['&', ['!', 'resumeVentilation'], ['X', 'resumeVentilation']], ['X', ['F', ['&', 'SelfTestMode', ['->', ['&', ['&', ['&', ['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']], ['|', 'testPSExpPass', 'testPSExpSkip']], ['|', 'testOxygenSensorPass', 'testOxygenSensorSkip']], ['|', 'testAlarmsPass', 'testAlarmsSkip']], 'selfTestPassed']]]]]], ['->', 'resumeVentilation', ['F', ['&', 'SelfTestMode', ['->', ['&', ['&', ['&', ['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']], ['|', 'testPSExpPass', 'testPSExpSkip']], ['|', 'testOxygenSensorPass', 'testOxygenSensorSkip']], ['|', 'testAlarmsPass', 'testAlarmsSkip']], 'selfTestPassed']]]]]"
FUN27,((G ((! (((! PSVMode) ) & (X PSVMode))) | (X ((((PSVMode ) & (X (! PSVMode))) V (((! (breathingTime >= apneaLagTime)) & ((X (breathingTime >= apneaLagTime)) & (! ((PSVMode ) & (X (! PSVMode)))))) -> ((X ((! ((PSVMode ) & (X (! PSVMode)))) U apnea)) & (! ((PSVMode ) & (X (! PSVMode))))))) & ((breathingTime >= apneaLagTime) -> ((! ((PSVMode ) & (X (! PSVMode)))) U apnea)))))) & (PSVMode -> ((((PSVMode ) & (X (! PSVMode))) V (((! (breathingTime >= apneaLagTime)) & ((X (breathingTime >= apneaLagTime)) & (! ((PSVMode ) & (X (! PSVMode)))))) -> ((X ((! ((PSVMode ) & (X (! PSVMode)))) U apnea)) & (! ((PSVMode ) & (X (! PSVMode))))))) & ((breathingTime >= apneaLagTime) -> ((! ((PSVMode ) & (X (! PSVMode)))) U apnea))))),"['&', ['G', ['|', ['!', ['&', ['!', 'PSVMode'], ['X', 'PSVMode']]], ['X', ['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['>=', 'breathingTime', 'apneaLagTime']], ['&', ['X', ['>=', 'breathingTime', 'apneaLagTime']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['>=', 'breathingTime', 'apneaLagTime'], ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']]]]]], ['->', 'PSVMode', ['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['>=', 'breathingTime', 'apneaLagTime']], ['&', ['X', ['>=', 'breathingTime', 'apneaLagTime']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['>=', 'breathingTime', 'apneaLagTime'], ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']]]]]"
FUN8_5,(F ((user = operator) -> (! eraseLog))),"['F', ['->', ['=', 'user', 'operator'], ['!', 'eraseLog']]]"
FUN16,(F (measureTV & displayTV)),"['F', ['&', 'measureTV', 'displayTV']]"
FUN18,(F ((enableLeakCompensation -> leakCompensation) | (! leakCompensation))),"['F', ['|', ['->', 'enableLeakCompensation', 'leakCompensation'], ['!', 'leakCompensation']]]"
FUN5_3,(F ((StartUpMode | SelfTestMode) -> (! patientConnected))),"['F', ['->', ['|', 'StartUpMode', 'SelfTestMode'], ['!', 'patientConnected']]]"
FUN42,,
FUN28,((G (((! (expiratoryPauseButton & (PCVExpiratoryPhaseEnd | PSVExpiratoryPhaseEnd))) & (X (expiratoryPauseButton & (PCVExpiratoryPhaseEnd | PSVExpiratoryPhaseEnd)))) -> (X ((buttonUnPressOr60Seconds V (((expirationPhaseEnd & inValveClose) & outValveClose) | buttonUnPressOr60Seconds)) | (G ((expirationPhaseEnd & inValveClose) & outValveClose)))))) & ((expiratoryPauseButton & (PCVExpiratoryPhaseEnd | PSVExpiratoryPhaseEnd)) -> ((buttonUnPressOr60Seconds V (((expirationPhaseEnd & inValveClose) & outValveClose) | buttonUnPressOr60Seconds)) | (G ((expirationPhaseEnd & inValveClose) & outValveClose))))),"['&', ['G', ['->', ['&', ['!', ['&', 'expiratoryPauseButton', ['|', 'PCVExpiratoryPhaseEnd', 'PSVExpiratoryPhaseEnd']]], ['X', ['&', 'expiratoryPauseButton', ['|', 'PCVExpiratoryPhaseEnd', 'PSVExpiratoryPhaseEnd']]]], ['X', ['|', ['V', 'buttonUnPressOr60Seconds', ['|', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], 'buttonUnPressOr60Seconds']], ['G', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]]]], ['->', ['&', 'expiratoryPauseButton', ['|', 'PCVExpiratoryPhaseEnd', 'PSVExpiratoryPhaseEnd']], ['|', ['V', 'buttonUnPressOr60Seconds', ['|', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], 'buttonUnPressOr60Seconds']], ['G', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]]]"
FUN39,(((! (((! (PSVMode | PCVMode)) ) & (X (PSVMode | PCVMode)))) U enterAlarmThresholds) | (PSVMode | PCVMode)),"['|', ['U', ['!', ['&', ['!', ['|', 'PSVMode', 'PCVMode']], ['X', ['|', 'PSVMode', 'PCVMode']]]], 'enterAlarmThresholds'], ['|', 'PSVMode', 'PCVMode']]"
FUN21,((G ((! (((! PCVMode) ) & (X PCVMode))) | (X ((! ((PCVMode ) & (X (! PCVMode)))) U ((breathingCycleDone | patientBreathingRequest) -> breathingCycleStart))))) & (PCVMode -> ((! ((PCVMode ) & (X (! PCVMode)))) U ((breathingCycleDone | patientBreathingRequest) -> breathingCycleStart)))),"['&', ['G', ['|', ['!', ['&', ['!', 'PCVMode'], ['X', 'PCVMode']]], ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['->', ['|', 'breathingCycleDone', 'patientBreathingRequest'], 'breathingCycleStart']]]]], ['->', 'PCVMode', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['->', ['|', 'breathingCycleDone', 'patientBreathingRequest'], 'breathingCycleStart']]]]"
FUN27_2,((G (((! apnea) & (X apnea)) -> (X (F (((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (ItoE = ItoE_AP)))))) & (apnea -> (F (((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (ItoE = ItoE_AP))))),"['&', ['G', ['->', ['&', ['!', 'apnea'], ['X', 'apnea']], ['X', ['F', ['&', ['&', ['&', 'PCVMode', ['=', 'RR', 'RR_AP']], ['=', 'P_insp', 'P_inspAP']], ['=', 'ItoE', 'ItoE_AP']]]]]], ['->', 'apnea', ['F', ['&', ['&', ['&', 'PCVMode', ['=', 'RR', 'RR_AP']], ['=', 'P_insp', 'P_inspAP']], ['=', 'ItoE', 'ItoE_AP']]]]]"
FUN6_4,((G ((! (((! SelfTestMode) ) & (X SelfTestMode))) | (X ((! ((SelfTestMode ) & (X (! SelfTestMode)))) U ((testPSExpPass | testPSExpFail) | testPSExpSkip))))) & (SelfTestMode -> ((! ((SelfTestMode ) & (X (! SelfTestMode)))) U ((testPSExpPass | testPSExpFail) | testPSExpSkip)))),"['&', ['G', ['|', ['!', ['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]], ['X', ['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testPSExpPass', 'testPSExpFail'], 'testPSExpSkip']]]]], ['->', 'SelfTestMode', ['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testPSExpPass', 'testPSExpFail'], 'testPSExpSkip']]]]"
FUN27_1,((G (((! apnea) & (X apnea)) -> (X (F apneaAlarm)))) & (apnea -> (F apneaAlarm))),"['&', ['G', ['->', ['&', ['!', 'apnea'], ['X', 'apnea']], ['X', ['F', 'apneaAlarm']]]], ['->', 'apnea', ['F', 'apneaAlarm']]]"
FUN10_4,((G (((! selfTestPassed) & (X selfTestPassed)) -> (X (F StandbyMode)))) & (selfTestPassed -> (F StandbyMode))),"['&', ['G', ['->', ['&', ['!', 'selfTestPassed'], ['X', 'selfTestPassed']], ['X', ['F', 'StandbyMode']]]], ['->', 'selfTestPassed', ['F', 'StandbyMode']]]"
FUN8_6,((G (((! ventilatorSettingsChanged) & (X ventilatorSettingsChanged)) -> (X (F logVentilatorSettings)))) & (ventilatorSettingsChanged -> (F logVentilatorSettings))),"['&', ['G', ['->', ['&', ['!', 'ventilatorSettingsChanged'], ['X', 'ventilatorSettingsChanged']], ['X', ['F', 'logVentilatorSettings']]]], ['->', 'ventilatorSettingsChanged', ['F', 'logVentilatorSettings']]]"
FUN6,((G ((! (((! SelfTestMode) ) & (X SelfTestMode))) | (X ((! ((SelfTestMode ) & (X (! SelfTestMode)))) U (selfTestPassed | selfTestFailed))))) & (SelfTestMode -> ((! ((SelfTestMode ) & (X (! SelfTestMode)))) U (selfTestPassed | selfTestFailed)))),"['&', ['G', ['|', ['!', ['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]], ['X', ['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', 'selfTestPassed', 'selfTestFailed']]]]], ['->', 'SelfTestMode', ['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', 'selfTestPassed', 'selfTestFailed']]]]"
FUN10,((G (((! startUpDone) & (X startUpDone)) -> (X (F (newPatient | resumeVentilation))))) & (startUpDone -> (F (newPatient | resumeVentilation)))),"['&', ['G', ['->', ['&', ['!', 'startUpDone'], ['X', 'startUpDone']], ['X', ['F', ['|', 'newPatient', 'resumeVentilation']]]]], ['->', 'startUpDone', ['F', ['|', 'newPatient', 'resumeVentilation']]]]"
FUN4,(F (((((StartUpMode | SelfTestMode) | StandbyMode) | sPCVMode) | PSVMode) | FailSafeMode)),"['F', ['|', ['|', ['|', ['|', ['|', 'StartUpMode', 'SelfTestMode'], 'StandbyMode'], 'sPCVMode'], 'PSVMode'], 'FailSafeMode']]"
FUN17,(F (measureFl1 & display)),"['F', ['&', 'measureFl1', 'display']]"
FUN32,((G ((! (((! FailSafeMode) ) & (X FailSafeMode))) | (X ((! ((FailSafeMode ) & (X (! FailSafeMode)))) U patientSafe)))) & (FailSafeMode -> ((! ((FailSafeMode ) & (X (! FailSafeMode)))) U patientSafe))),"['&', ['G', ['|', ['!', ['&', ['!', 'FailSafeMode'], ['X', 'FailSafeMode']]], ['X', ['U', ['!', ['&', 'FailSafeMode', ['X', ['!', 'FailSafeMode']]]], 'patientSafe']]]], ['->', 'FailSafeMode', ['U', ['!', ['&', 'FailSafeMode', ['X', ['!', 'FailSafeMode']]]], 'patientSafe']]]"
FUN23_2,((G ((! (((! PCVMode) ) & (X PCVMode))) | (X ((! ((PCVMode ) & (X (! PCVMode)))) U (((confirmPSVParameters & PSVMode) | ((! confirmPSVParamters) & PCVMode)) & ventilating))))) & (PCVMode -> ((! ((PCVMode ) & (X (! PCVMode)))) U (((confirmPSVParameters & PSVMode) | ((! confirmPSVParamters) & PCVMode)) & ventilating)))),"['&', ['G', ['|', ['!', ['&', ['!', 'PCVMode'], ['X', 'PCVMode']]], ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', ['|', ['&', 'confirmPSVParameters', 'PSVMode'], ['&', ['!', 'confirmPSVParamters'], 'PCVMode']], 'ventilating']]]]], ['->', 'PCVMode', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', ['|', ['&', 'confirmPSVParameters', 'PSVMode'], ['&', ['!', 'confirmPSVParamters'], 'PCVMode']], 'ventilating']]]]"
FUN8_7,((G (((! alarmSettingsChanged) & (X alarmSettingsChanged)) -> (X (F logAlarmSettings)))) & (alarmSettingsChanged -> (F logAlarmSettings))),"['&', ['G', ['->', ['&', ['!', 'alarmSettingsChanged'], ['X', 'alarmSettingsChanged']], ['X', ['F', 'logAlarmSettings']]]], ['->', 'alarmSettingsChanged', ['F', 'logAlarmSettings']]]"
FUN10_5,((G ((! (((! StandbyMode) ) & (X StandbyMode))) | (X ((! ((StandbyMode ) & (X (! StandbyMode)))) U (ventilationOff & ventilationParmsAdjustable))))) & (StandbyMode -> ((! ((StandbyMode ) & (X (! StandbyMode)))) U (ventilationOff & ventilationParmsAdjustable)))),"['&', ['G', ['|', ['!', ['&', ['!', 'StandbyMode'], ['X', 'StandbyMode']]], ['X', ['U', ['!', ['&', 'StandbyMode', ['X', ['!', 'StandbyMode']]]], ['&', 'ventilationOff', 'ventilationParmsAdjustable']]]]], ['->', 'StandbyMode', ['U', ['!', ['&', 'StandbyMode', ['X', ['!', 'StandbyMode']]]], ['&', 'ventilationOff', 'ventilationParmsAdjustable']]]]"
FUN5_2,((G ((! (((! StartUpMode) ) & (X StartUpMode))) | (X ((! ((StartUpMode ) & (X (! StartUpMode)))) U (initDone | ((initFail & outOfServiceWarning) & FailSafeMode)))))) & (StartUpMode -> ((! ((StartUpMode ) & (X (! StartUpMode)))) U (initDone | ((initFail & outOfServiceWarning) & FailSafeMode))))),"['&', ['G', ['|', ['!', ['&', ['!', 'StartUpMode'], ['X', 'StartUpMode']]], ['X', ['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], ['|', 'initDone', ['&', ['&', 'initFail', 'outOfServiceWarning'], 'FailSafeMode']]]]]], ['->', 'StartUpMode', ['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], ['|', 'initDone', ['&', ['&', 'initFail', 'outOfServiceWarning'], 'FailSafeMode']]]]]"
FUN23_3,((G ((! (((! PCVMode) ) & (X PCVMode))) | (X ((((PCVMode ) & (X (! PCVMode))) V (((! PSVModeSelected) & ((X PSVModeSelected) & (! ((PCVMode ) & (X (! PCVMode)))))) -> ((X ((! ((PCVMode ) & (X (! PCVMode)))) U (! (PCVInspTimeEnd & PSVMode)))) & (! ((PCVMode ) & (X (! PCVMode))))))) & (PSVModeSelected -> ((! ((PCVMode ) & (X (! PCVMode)))) U (! (PCVInspTimeEnd & PSVMode)))))))) & (PCVMode -> ((((PCVMode ) & (X (! PCVMode))) V (((! PSVModeSelected) & ((X PSVModeSelected) & (! ((PCVMode ) & (X (! PCVMode)))))) -> ((X ((! ((PCVMode ) & (X (! PCVMode)))) U (! (PCVInspTimeEnd & PSVMode)))) & (! ((PCVMode ) & (X (! PCVMode))))))) & (PSVModeSelected -> ((! ((PCVMode ) & (X (! PCVMode)))) U (! (PCVInspTimeEnd & PSVMode))))))),"['&', ['G', ['|', ['!', ['&', ['!', 'PCVMode'], ['X', 'PCVMode']]], ['X', ['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'PSVModeSelected', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]]]]]], ['->', 'PCVMode', ['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'PSVModeSelected', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]]]]]"
FUN33,((G (((! powerFailure) & (X powerFailure)) -> (X (F patientSafe)))) & (powerFailure -> (F patientSafe))),"['&', ['G', ['->', ['&', ['!', 'powerFailure'], ['X', 'powerFailure']], ['X', ['F', 'patientSafe']]]], ['->', 'powerFailure', ['F', 'patientSafe']]]"
