count,serialisation
4,"['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', 'outOfServiceWarning', 'FailSafeMode']]"
4,"['&', 'outOfServiceWarning', 'FailSafeMode']"
4,"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', 'ventilating', 'PSVMode']]"
4,"['&', 'ventilating', 'PSVMode']"
4,"['|', ['G', '[0,40]', ['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]], ['V', ['&', 'InspiratoryPauseButton', ['X', ['!', 'InspiratoryPauseButton']]], ['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]]"
4,"['G', '[0,40]', ['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]"
4,"['V', ['&', 'InspiratoryPauseButton', ['X', ['!', 'InspiratoryPauseButton']]], ['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]"
4,"['!', ['&', 'InspiratoryPauseButton', ['X', ['!', 'InspiratoryPauseButton']]]]"
3,"['!', ['&', ['!', 'PSVMode'], ['X', 'PSVMode']]]"
3,"['&', ['!', 'PSVMode'], ['X', 'PSVMode']]"
3,"['X', 'PSVMode']"
3,"['|', 'StartUpMode', 'SelfTestMode']"
3,"['>', 'P_insp', 'MaxP_insp']"
3,"['|', ['>', 'param_V', 'paramMax_V'], ['<', 'param_V', 'paramMin_V']]"
3,"['>', 'param_V', 'paramMax_V']"
3,"['<', 'param_V', 'paramMin_V']"
3,"['|', 'GUIFailue', ['!', 'GUIConnected']]"
3,"['!', 'GUIConnected']"
3,"['&', 'expiratoryPauseButton', ['|', 'PCVExpiratoryPhaseEnd', 'PSVExpiratoryPhaseEnd']]"
3,"['|', 'PCVExpiratoryPhaseEnd', 'PSVExpiratoryPhaseEnd']"
3,"['|', 'PSVMode', 'PCVMode']"
3,"['!', 'FailSafeMode']"
3,"['!', 'StandbyMode']"
3,"['<', 'inspiratoryPressure', 'InhaleTriggerSensitivityPCV']"
3,"['&', 'leakCompensationEnable', 'MinPEEPAlarm']"
3,"['&', 'powerButton', ['&', ['&', ['&', 'breathingCircuitConnected', ['!', 'patientConnected']], 'airSupplyConnected'], 'powerConnected']]"
3,"['&', ['&', ['&', 'breathingCircuitConnected', ['!', 'patientConnected']], 'airSupplyConnected'], 'powerConnected']"
3,"['&', ['&', 'breathingCircuitConnected', ['!', 'patientConnected']], 'airSupplyConnected']"
3,"['&', 'breathingCircuitConnected', ['!', 'patientConnected']]"
2,"['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['&', ['X', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity'], ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']]]"
2,"['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['&', ['X', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]]"
2,"['->', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity'], ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']]"
2,"['->', ['&', ['!', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['&', ['X', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]"
2,"['&', ['!', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['&', ['X', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]"
2,"['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]"
2,"['!', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']]"
2,"['&', ['X', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]"
2,"['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']]"
2,"['X', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']]"
2,"['!', 'newPatient']"
2,"['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'PSVModeSelected', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']]]"
2,"['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]]"
2,"['->', 'PSVModeSelected', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']]"
2,"['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]"
2,"['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]"
2,"['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']]"
2,"['F', ['&', 'inspiratoryPhaseEnd', 'expirationPhaseStart']]"
2,"['&', 'inspiratoryPhaseEnd', 'expirationPhaseStart']"
2,"['F', 'paramAlarm_V']"
2,"['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testFl2Pass', 'testFl2Fail'], 'testFl2Skip']]"
2,"['|', ['|', 'testFl2Pass', 'testFl2Fail'], 'testFl2Skip']"
2,"['|', 'testFl2Pass', 'testFl2Fail']"
2,"['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], 'initStart']"
2,"['!', ['&', ['!', 'StartUpMode'], ['X', 'StartUpMode']]]"
2,"['&', ['!', 'StartUpMode'], ['X', 'StartUpMode']]"
2,"['X', 'StartUpMode']"
2,"['F', ['&', 'ventilating', 'highPriorityAlarm']]"
2,"['&', 'ventilating', 'highPriorityAlarm']"
2,"['F', ['&', ['&', 'startMonitoring', 'startReportingHealthParams'], 'StandbyMode']]"
2,"['&', ['!', 'selfTestPassed'], ['X', 'selfTestPassed']]"
2,"['&', ['&', 'startMonitoring', 'startReportingHealthParams'], 'StandbyMode']"
2,"['!', 'selfTestPassed']"
2,"['X', 'selfTestPassed']"
2,"['&', 'startMonitoring', 'startReportingHealthParams']"
2,"['F', ['&', 'SelfTestMode', ['->', ['&', ['&', ['&', ['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']], ['|', 'testPSExpPass', 'testPSExpSkip']], ['|', 'testOxygenSensorPass', 'testOxygenSensorSkip']], ['|', 'testAlarmsPass', 'testAlarmsSkip']], 'selfTestPassed']]]"
2,"['&', ['!', 'resumeVentilation'], ['X', 'resumeVentilation']]"
2,"['&', 'SelfTestMode', ['->', ['&', ['&', ['&', ['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']], ['|', 'testPSExpPass', 'testPSExpSkip']], ['|', 'testOxygenSensorPass', 'testOxygenSensorSkip']], ['|', 'testAlarmsPass', 'testAlarmsSkip']], 'selfTestPassed']]"
2,"['X', 'resumeVentilation']"
2,"['->', ['&', ['&', ['&', ['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']], ['|', 'testPSExpPass', 'testPSExpSkip']], ['|', 'testOxygenSensorPass', 'testOxygenSensorSkip']], ['|', 'testAlarmsPass', 'testAlarmsSkip']], 'selfTestPassed']"
2,"['&', ['&', ['&', ['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']], ['|', 'testPSExpPass', 'testPSExpSkip']], ['|', 'testOxygenSensorPass', 'testOxygenSensorSkip']], ['|', 'testAlarmsPass', 'testAlarmsSkip']]"
2,"['&', ['&', ['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']], ['|', 'testPSExpPass', 'testPSExpSkip']], ['|', 'testOxygenSensorPass', 'testOxygenSensorSkip']]"
2,"['|', 'testAlarmsPass', 'testAlarmsSkip']"
2,"['&', ['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']], ['|', 'testPSExpPass', 'testPSExpSkip']]"
2,"['|', 'testOxygenSensorPass', 'testOxygenSensorSkip']"
2,"['&', ['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']], ['|', 'testFl2Pass', 'testFl2Skip']]"
2,"['|', 'testPSExpPass', 'testPSExpSkip']"
2,"['&', ['|', 'testPowerSwitchPass', 'testPowerSwitchSkip'], ['|', 'testLeaksPass', 'testLeaksSkip']]"
2,"['|', 'testFl2Pass', 'testFl2Skip']"
2,"['|', 'testPowerSwitchPass', 'testPowerSwitchSkip']"
2,"['|', 'testLeaksPass', 'testLeaksSkip']"
2,"['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['>=', 'breathingTime', 'apneaLagTime']], ['&', ['X', ['>=', 'breathingTime', 'apneaLagTime']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['>=', 'breathingTime', 'apneaLagTime'], ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']]]"
2,"['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['>=', 'breathingTime', 'apneaLagTime']], ['&', ['X', ['>=', 'breathingTime', 'apneaLagTime']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]]"
2,"['->', ['>=', 'breathingTime', 'apneaLagTime'], ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']]"
2,"['->', ['&', ['!', ['>=', 'breathingTime', 'apneaLagTime']], ['&', ['X', ['>=', 'breathingTime', 'apneaLagTime']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]"
2,"['&', ['!', ['>=', 'breathingTime', 'apneaLagTime']], ['&', ['X', ['>=', 'breathingTime', 'apneaLagTime']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]"
2,"['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]"
2,"['!', ['>=', 'breathingTime', 'apneaLagTime']]"
2,"['&', ['X', ['>=', 'breathingTime', 'apneaLagTime']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]"
2,"['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']]"
2,"['X', ['>=', 'breathingTime', 'apneaLagTime']]"
2,"['->', 'enableLeakCompensation', 'leakCompensation']"
2,"['!', 'leakCompensation']"
2,"['|', ['V', 'buttonUnPressOr60Seconds', ['|', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], 'buttonUnPressOr60Seconds']], ['G', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]"
2,"['V', 'buttonUnPressOr60Seconds', ['|', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], 'buttonUnPressOr60Seconds']]"
2,"['G', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]"
2,"['|', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], 'buttonUnPressOr60Seconds']"
2,"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['->', ['|', 'breathingCycleDone', 'patientBreathingRequest'], 'breathingCycleStart']]"
2,"['->', ['|', 'breathingCycleDone', 'patientBreathingRequest'], 'breathingCycleStart']"
2,"['|', 'breathingCycleDone', 'patientBreathingRequest']"
2,"['F', ['&', ['&', ['&', 'PCVMode', ['=', 'RR', 'RR_AP']], ['=', 'P_insp', 'P_inspAP']], ['=', 'ItoE', 'ItoE_AP']]]"
2,"['&', ['!', 'apnea'], ['X', 'apnea']]"
2,"['&', ['&', ['&', 'PCVMode', ['=', 'RR', 'RR_AP']], ['=', 'P_insp', 'P_inspAP']], ['=', 'ItoE', 'ItoE_AP']]"
2,"['!', 'apnea']"
2,"['X', 'apnea']"
2,"['&', ['&', 'PCVMode', ['=', 'RR', 'RR_AP']], ['=', 'P_insp', 'P_inspAP']]"
2,"['=', 'ItoE', 'ItoE_AP']"
2,"['&', 'PCVMode', ['=', 'RR', 'RR_AP']]"
2,"['=', 'P_insp', 'P_inspAP']"
2,"['=', 'RR', 'RR_AP']"
2,"['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testPSExpPass', 'testPSExpFail'], 'testPSExpSkip']]"
2,"['|', ['|', 'testPSExpPass', 'testPSExpFail'], 'testPSExpSkip']"
2,"['|', 'testPSExpPass', 'testPSExpFail']"
2,"['F', 'apneaAlarm']"
2,"['F', 'StandbyMode']"
2,"['F', 'logVentilatorSettings']"
2,"['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', 'selfTestPassed', 'selfTestFailed']]"
2,"['|', 'selfTestPassed', 'selfTestFailed']"
2,"['F', ['|', 'newPatient', 'resumeVentilation']]"
2,"['|', 'newPatient', 'resumeVentilation']"
2,"['U', ['!', ['&', 'FailSafeMode', ['X', ['!', 'FailSafeMode']]]], 'patientSafe']"
2,"['!', ['&', 'FailSafeMode', ['X', ['!', 'FailSafeMode']]]]"
2,"['&', 'FailSafeMode', ['X', ['!', 'FailSafeMode']]]"
2,"['X', ['!', 'FailSafeMode']]"
2,"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', ['|', ['&', 'confirmPSVParameters', 'PSVMode'], ['&', ['!', 'confirmPSVParamters'], 'PCVMode']], 'ventilating']]"
2,"['&', ['|', ['&', 'confirmPSVParameters', 'PSVMode'], ['&', ['!', 'confirmPSVParamters'], 'PCVMode']], 'ventilating']"
2,"['|', ['&', 'confirmPSVParameters', 'PSVMode'], ['&', ['!', 'confirmPSVParamters'], 'PCVMode']]"
2,"['&', 'confirmPSVParameters', 'PSVMode']"
2,"['&', ['!', 'confirmPSVParamters'], 'PCVMode']"
2,"['!', 'confirmPSVParamters']"
2,"['F', 'logAlarmSettings']"
2,"['U', ['!', ['&', 'StandbyMode', ['X', ['!', 'StandbyMode']]]], ['&', 'ventilationOff', 'ventilationParmsAdjustable']]"
2,"['!', ['&', 'StandbyMode', ['X', ['!', 'StandbyMode']]]]"
2,"['&', 'ventilationOff', 'ventilationParmsAdjustable']"
2,"['&', 'StandbyMode', ['X', ['!', 'StandbyMode']]]"
2,"['X', ['!', 'StandbyMode']]"
2,"['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], ['|', 'initDone', ['&', ['&', 'initFail', 'outOfServiceWarning'], 'FailSafeMode']]]"
2,"['|', 'initDone', ['&', ['&', 'initFail', 'outOfServiceWarning'], 'FailSafeMode']]"
2,"['&', ['&', 'initFail', 'outOfServiceWarning'], 'FailSafeMode']"
2,"['&', 'initFail', 'outOfServiceWarning']"
2,"['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'PSVModeSelected', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]]]"
2,"['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]]"
2,"['->', 'PSVModeSelected', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]]"
2,"['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]"
2,"['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]"
2,"['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]]"
2,"['&', ['!', 'powerFailure'], ['X', 'powerFailure']]"
2,"['X', ['F', 'patientSafe']]"
2,"['!', 'powerFailure']"
2,"['X', 'powerFailure']"
2,"['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testOxygenSensorPass', 'testOxygenSensorFail'], 'testOxygenSensorSkip']]"
2,"['|', ['|', 'testOxygenSensorPass', 'testOxygenSensorFail'], 'testOxygenSensorSkip']"
2,"['|', 'testOxygenSensorPass', 'testOxygenSensorFail']"
2,"['F', 'logPatientChange']"
2,"['F', 'breathingCycleStart']"
2,"['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testAlarmsPass', 'testAlarmsFail'], 'testAlarmsSkip']]"
2,"['|', ['|', 'testAlarmsPass', 'testAlarmsFail'], 'testAlarmsSkip']"
2,"['|', 'testAlarmsPass', 'testAlarmsFail']"
2,"['&', ['|', ['G', '[0,15]', ['!', ['!', 'resumeVentilation']]], ['G', ['!', ['!', 'resumeVentilation']]]], ['F', '[0,16]', ['!', 'resumeVentilation']]]"
2,"['|', ['G', '[0,15]', ['!', ['!', 'resumeVentilation']]], ['G', ['!', ['!', 'resumeVentilation']]]]"
2,"['F', '[0,16]', ['!', 'resumeVentilation']]"
2,"['G', '[0,15]', ['!', ['!', 'resumeVentilation']]]"
2,"['G', ['!', ['!', 'resumeVentilation']]]"
2,"['F', 'logPowerSupply']"
2,"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', ['=', 'breathingCyleTime', ['/', '1', 'RR_PCV']], ['=', 'ExpiratoryTime', ['/', 'breathingCycleTime', ['+', '1', 'ItoE_PCV']]]]]"
2,"['&', ['=', 'breathingCyleTime', ['/', '1', 'RR_PCV']], ['=', 'ExpiratoryTime', ['/', 'breathingCycleTime', ['+', '1', 'ItoE_PCV']]]]"
2,"['=', 'breathingCyleTime', ['/', '1', 'RR_PCV']]"
2,"['=', 'ExpiratoryTime', ['/', 'breathingCycleTime', ['+', '1', 'ItoE_PCV']]]"
2,"['/', '1', 'RR_PCV']"
2,"['/', 'breathingCycleTime', ['+', '1', 'ItoE_PCV']]"
2,"['+', '1', 'ItoE_PCV']"
2,"['F', 'breathingTimerReset']"
2,"['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testPowerSwitchPass', 'testPowerSwitchFail'], 'testPowerSwitchSkip']]"
2,"['|', ['|', 'testPowerSwitchPass', 'testPowerSwitchFail'], 'testPowerSwitchSkip']"
2,"['|', 'testPowerSwitchPass', 'testPowerSwitchFail']"
2,"['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'RMButton'], ['&', ['X', 'RMButton'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'RM']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'RMButton', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'RM']]]"
2,"['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'RMButton'], ['&', ['X', 'RMButton'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'RM']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]]"
2,"['->', 'RMButton', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'RM']]"
2,"['->', ['&', ['!', 'RMButton'], ['&', ['X', 'RMButton'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'RM']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]"
